Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
34,16784561,"Rodrigo Ramón","2026-09-02 21:07:55",2800.8,2,rodrigoramn
35,16767215,keiz,"2026-09-03 04:46:08",2798.8,2,keizkeiz
36,16684202,Ignat,"2026-09-03 00:12:57",2796.6,2,ignatgotin
37,16627600,"NiA Farms","2026-09-02 23:16:33",2794.7,2,"adriaft,natliablascoandreo"
38,16731686,SaiKushal185,"2026-09-02 19:32:04",2794.4,2,saikushal185
39,16779388,"Mohammad Alnajdawi","2026-09-02 12:12:12",2794.3,2,mohammadalnajdawi
40,16677847,ShiviWhivi,"2026-09-03 00:02:25",2792.3,2,blackpearls1
41,16635029,"Oleg Melnik","2026-09-02 21:05:03",2791.3,2,olegmelnik
42,16743647,bono,"2026-09-02 19:48:14",2790.2,2,kjoonha
43,16730761,ElephtAI,"2026-09-02 21:57:31",2787.5,2,yuchengj
44,16728071,AI是我的豆包,"2026-09-03 02:31:06",2785.2,2,"blht2026,wocenmma"
45,16664111,"John Park","2026-09-02 18:18:46",2777.4,2,sigint
46,16637597,venks,"2026-09-02 21:33:23",2776.1,2,vterli
47,16741542,Jiro2,"2026-09-03 01:23:12",2776.0,2,amonkizawa
48,16749520,"Andrey Tikhomirov","2026-09-02 18:24:48",2774.8,2,andreytikhomirov
49,16656514,"Kaggle chan","2026-09-03 02:10:09",2774.6,2,praveensahukari
50,16712258,Yizhou,"2026-09-03 01:40:21",2770.2,2,yaphellee
51,16657449,Timass,"2026-09-02 21:54:43",2770.0,2,timmass2
52,16622454,automatylicza,"2026-09-02 19:21:39",2757.3,2,automatylicza
53,16785523,Doranap,"2026-09-02 20:36:29",2753.0,2,doranap
54,16768603,Kinance,"2026-09-03 00:53:56",2752.8,2,kinance
55,16781166,Ant,"2026-09-03 02:47:35",2752.0,2,anthonytrevino
56,16622567,"Georgy Mamarin","2026-09-02 18:51:53",2750.2,2,georgymamarin
57,16714134,"Raul Tinajero","2026-09-02 23:46:23",2748.0,2,raultinajeroo
58,16660483,TIM,"2026-09-03 00:45:55",2747.1,2,daynoryamil
59,16685634,"Syed Asad Ali","2026-09-03 03:34:10",2746.1,2,syed3000
60,16707144,Kirderf,"2026-09-02 21:13:49",2744.5,2,kirderf
61,16761293,cha7ura,"2026-09-02 09:37:46",2739.2,2,cha7ura
62,16762019,yukino,"2026-09-02 14:55:02",2739.0,2,"jifengjianhao666,mqingcs"
63,16723955,chunsuri,"2026-09-03 02:13:43",2736.0,2,chunsuri
64,16640807,TS,"2026-09-03 00:42:18",2734.0,2,"milkcoffeen,takumi0220"
65,16637987,Xander,"2026-09-02 11:43:33",2731.2,2,canqiang
66,16672315,CemBas,"2026-09-03 05:26:45",2729.4,2,cembas
67,16677337,"xi luo","2026-09-03 00:43:33",2727.5,2,xiluo00
68,16782520,Durian,"2026-09-03 05:17:22",2726.3,2,rainyjin
69,16734914,bharat,"2026-09-03 03:52:32",2725.7,2,bharatmohan
70,16665829,Shadowfishes,"2026-09-02 23:24:53",2721.3,2,"boandme,ronitagarwal1,shauryasahdev2"
71,16663783,WBF_USA_NYC,"2026-09-03 03:24:35",2720.6,2,wbfranci
72,16624484,"Tomoki Hirose","2026-09-02 15:58:38",2719.9,2,tomokihirose
73,16665641,"Alexander Shahramanyan","2026-09-02 17:19:54",2715.9,2,alexshah
74,16670967,xnryxd,"2026-09-02 21:03:44",2712.5,2,al55522me
75,16667922,JungHwan,"2026-09-03 00:01:32",2710.4,2,najunghwan
76,16806862,JudyWatermelon,"2026-09-02 23:16:13",2708.3,2,judywatermelon
77,16624921,"sky machine","2026-09-02 23:08:47",2707.4,2,"gunhcolab,hweowe"
78,16732210,tanadai,"2026-09-02 18:10:46",2707.1,2,da0516
79,16655789,"wen chong yu","2026-09-02 22:15:30",2706.5,2,wenchongyu
80,16624893,"GURU Prasaatha S","2026-09-03 01:43:01",2703.7,2,guruprasaathas111
81,16806195,unreal,"2026-09-02 12:35:10",2699.2,2,gauravgs1007
82,16635745,DataRockstar,"2026-09-03 00:20:51",2698.8,2,"amaropeter,jvlegend"
83,16671150,Mc10nys0n,"2026-09-02 15:22:42",2698.7,2,rattanunt
84,16736120,"Ricky #2","2026-09-03 03:02:21",2698.5,2,rickyds97
85,16730323,fufufukakaka,"2026-09-03 03:12:23",2695.5,2,fufufukakaka
86,16622459,"Munal Singh","2026-09-03 01:12:07",2691.8,2,munalsingh
87,16743392,tellurium_rrr,"2026-09-02 18:06:34",2691.8,2,telluriumrrr
88,16783173,"Michael Shihong Zhang","2026-09-02 17:51:16",2683.5,2,"excelexx,festyve"
89,16746599,Borrun,"2026-09-02 20:40:23",2681.7,2,borrun
90,16791248,"Ioannis Tzachristas","2026-09-03 00:42:46",2681.4,2,ioannistzachristas
91,16769836,weense,"2026-09-03 00:58:21",2680.9,2,weense
92,16632224,"牧瀬 紅莉栖","2026-09-03 02:55:02",2680.9,2,yamakawanin
93,16645426,Jun_value,"2026-09-03 01:11:51",2679.1,2,junvalue
94,16660209,"Whyme Labs","2026-09-03 02:51:15",2677.3,2,whymelabs
95,16732292,takaygiiiiiiii,"2026-09-03 00:27:00",2676.0,2,takaygiiiiiiii
96,16778340,NayuNayu,"2026-09-03 00:12:54",2675.5,2,nayunayu1005
97,16663867,"Stephen Schott","2026-09-03 03:43:45",2673.2,2,steve421471
98,16768236,Baligh,"2026-09-01 11:15:18",2671.5,2,balighmehrez
99,16745569,kitchs,"2026-09-03 02:00:55",2671.0,2,kitchs
100,16794730,Fanch,"2026-09-03 03:44:56",2669.6,2,fanch123
101,16715733,peikopon,"2026-09-03 05:14:12",2666.7,2,peikopon
102,16667604,L7n,"2026-09-02 17:43:38",2664.8,2,znwe342
103,16732051,Jeryos,"2026-09-03 03:28:27",2662.4,2,joulskaf
104,16693534,HireMe,"2026-09-03 04:15:06",2661.3,2,junta1104
105,16763669,cm391,"2026-09-02 18:07:06",2660.2,2,mccocoful
106,16659464,"Héctor Valverde","2026-09-03 02:19:51",2659.3,2,hvpareja
107,16711376,"Arman Tuganbaev","2026-09-02 11:55:09",2659.3,2,armantuganbaev
108,16797543,Tarang222,"2026-09-03 00:02:32",2658.7,2,tarang222
109,16632783,chocolat,"2026-09-03 01:02:42",2654.7,2,chocolatnya999
110,16661743,"Sergey Kutepov","2026-09-02 16:04:40",2654.2,2,natsyst
111,16670537,Silhouette,"2026-09-03 01:11:11",2653.8,2,jamessargsyan
112,16655129,"Morylov Yehor","2026-09-03 00:55:41",2651.5,2,morylov
113,16811461,wangxi608,"2026-09-03 01:59:44",2651.3,2,wangxi608
114,16672128,Cliffton,"2026-09-03 03:49:29",2650.6,2,rieltzx
115,16623716,tetsuya,"2026-09-03 00:49:35",2649.4,2,"tetsuya3510,yuanzhezhou"
116,16688787,Fih,"2026-09-02 08:01:59",2647.8,2,vencerlanz09
117,16674508,"Giulio Ravasio","2026-09-02 22:13:31",2647.3,2,giuliorav
118,16623382,diamond_hoe,"2026-09-02 08:18:46",2644.8,2,bbrage
119,16655519,CurveCowboy,"2026-09-03 00:10:15",2644.3,2,curvecowboy
120,16744979,"Ahmed Alhassan","2026-09-02 14:14:55",2644.0,2,ahmed55
121,16730719,Xiaowenhao404,"2026-09-03 03:41:57",2642.7,2,xiaowenhao404
122,16697767,"Teddy Tennant","2026-09-03 03:48:54",2642.6,2,thtennant
123,16730735,YUK,"2026-09-02 15:18:14",2638.8,2,yu0307
124,16806014,"weihao huang2004","2026-09-03 04:02:14",2638.4,2,weihaohuang2004
125,16712863,ominteam,"2026-09-03 04:41:13",2636.7,2,"luantony,suruikk"
126,16644808,"Rotation Theory","2026-09-03 04:03:36",2636.4,2,mikhsank
127,16773964,trung,"2026-09-02 17:00:58",2633.1,2,trung2006
128,16755099,"Aleksandr Ulianin","2026-09-02 16:17:37",2631.5,2,aleksandrulianin
129,16672997,"Francesco Montone","2026-09-02 15:13:04",2630.2,2,francescomontone
130,16677149,"Umataro Tenma","2026-09-02 21:01:13",2629.9,2,umatarotenma
131,16745006,UjjwalPardeshi,"2026-09-03 04:05:50",2628.9,2,ujjwalpardeshi
132,16662883,OceanMix,"2026-09-03 03:37:27",2625.9,2,"cggonzalezsc,fierus,liesvyvalladares"
133,16780141,"One Zero001","2026-08-31 15:50:37",2623.0,2,onezero001
134,16676321,"tao wu11","2026-09-02 14:12:45",2621.1,2,"taowu11,xujchill"
135,16793553,hoon0303,"2026-09-03 01:47:23",2620.3,2,hoon0303
136,16704247,WeAreFarmers,"2026-09-03 04:15:58",2619.1,2,gbmorris1
137,16630752,motemen,"2026-09-03 03:55:13",2618.3,2,motemen
138,16732714,Mforg,"2026-09-02 20:30:48",2617.2,2,mforg74911
139,16697229,"Masashi Nishimoto","2026-09-02 19:34:49",2615.0,2,masashinishimoto
140,16621315,"Reyhan Ksatria","2026-09-02 18:03:19",2611.7,2,reyhanksatria
141,16692956,VanKoha,"2026-09-03 00:45:38",2611.2,2,kohasama
142,16635062,DL,"2026-09-02 16:13:38",2610.2,2,distiller
143,16753974,"David Goldrajch","2026-09-02 16:37:51",2609.3,2,elie2003
144,16634312,"Linh Le","2026-09-02 14:01:54",2605.3,2,linhlethuy
145,16668262,spbforce,"2026-09-02 20:53:55",2604.9,2,spbforce
146,16689748,cheesytoasts,"2026-09-03 01:36:37",2604.8,2,cheesinnn
147,16655520,"kaggle Osaka","2026-09-02 23:29:15",2599.5,2,toshiyukitanaka
148,16807411,tamura_aicon,"2026-09-02 14:27:03",2599.3,2,hayatetaf
149,16727171,yfy,"2026-09-02 16:22:23",2599.3,2,qwidndbdjss
150,16654995,"Artem Voronov","2026-09-02 21:42:07",2599.0,2,artemyvoronov
151,16734447,"Ali Bauyrzhan","2026-09-02 13:59:43",2596.6,2,alibauyrzhan
152,16645596,Kosakunin,"2026-09-02 15:04:56",2595.8,2,yugoawawa
153,16641077,lucaskna,"2026-09-02 14:48:27",2591.3,2,lucaskna
154,16712189,"Kostiantyn Isaienkov","2026-09-02 21:45:16",2590.8,2,isaienkov
155,16707562,Snipine,"2026-09-03 01:59:46",2590.4,2,boluosnow
156,16702975,RicardoLópez,"2026-09-02 16:08:51",2588.8,2,richi2489
157,16749466,"The Wolf of Wheat Street","2026-09-02 18:05:09",2588.5,2,"lijuantang19,yuemengzheng01"
158,16805778,"Dương Đức Anh","2026-09-03 00:54:15",2588.4,2,dda2k6
159,16709435,"Artyom Lyan","2026-09-02 12:43:34",2585.1,2,arli2016
160,16746025,Hamachi,"2026-09-02 20:41:16",2584.3,2,hamatz
161,16632715,cmasch,"2026-09-02 08:54:55",2583.9,2,cmasch
162,16670371,rkd,"2026-09-03 02:18:11",2583.2,2,ryookd
163,16789946,"Oriol Pi Morell","2026-09-03 04:18:37",2582.8,2,oriolpi
164,16732735,MMMMMMMMMMMM,"2026-09-03 02:43:11",2582.6,2,hyh273279
165,16748733,"Driz Lo","2026-09-02 23:28:29",2582.3,2,drizlo
166,16782203,"rui xiong","2026-09-02 16:25:53",2582.1,2,xiongruihumingyu
167,16659776,"Ben Hamilton","2026-09-03 03:45:17",2580.3,2,kineticaxisstudio
168,16660255,"Revanth Tambisetty","2026-09-03 02:28:10",2580.0,2,revanthtambisetty
169,16734580,shyjin,"2026-09-03 00:20:20",2579.8,2,shyjin
170,16654068,"Renoir Vieira","2026-09-02 11:17:07",2578.5,2,renoirvieira0
171,16730676,ActiveMusyoku,"2026-09-03 02:52:14",2577.8,2,"daiki0381,kohei0okazaki,noriyukimori,ryonatori,seipon"
172,16695664,Bantam,"2026-09-02 06:51:24",2577.1,2,bantam
173,16784217,MMN0222,"2026-09-03 04:01:49",2576.9,2,mmn0222
174,16731415,BOB,"2026-09-03 01:45:58",2575.8,2,hotpotbro
175,16675063,"King Tian","2026-09-02 09:51:32",2572.6,2,tianwang1210
176,16632423,goh,"2026-09-03 03:12:02",2572.3,2,bungohatayama
177,16795853,GaoKui,"2026-09-02 17:35:50",2569.7,2,gaokui
178,16734979,NiuLAI,"2026-09-02 08:00:03",2569.7,2,"chunsingyu,chunyinhui,jaminmei"
179,16688460,lllleeeo,"2026-09-02 06:37:32",2569.6,2,lllleeeo
180,16660840,"An Garcia","2026-09-03 00:51:20",2566.8,2,angarcia
181,16658343,aisamhottman,"2026-09-03 01:13:14",2566.0,2,heuingttiang
182,16629165,lingyu07,"2026-09-03 00:56:41",2565.7,2,lingyu07
183,16656432,"CornHub Premium","2026-09-02 23:40:50",2563.3,2,nihilisticneuralnet
184,16728069,Taisei7,"2026-09-03 03:09:26",2562.0,2,taisei7
185,16720797,"Vibe Farmer","2026-09-02 16:43:00",2556.1,2,pulakkantibhowmick
186,16684045,zekenoe,"2026-09-03 02:01:17",2553.3,2,"yizhewong,zekenos"
187,16714159,Lonnie,"2026-09-02 19:07:22",2553.3,2,lonnieqin
188,16719123,"Thomas Tschinkel","2026-09-03 02:19:59",2552.2,2,thomastschinkel
189,16806000,wyz0210,"2026-09-03 03:29:03",2551.3,2,weiyouzhen
190,16806587,"Dear Shark","2026-09-03 02:16:14",2549.8,2,dearshark
191,16626732,islet,"2026-09-03 05:08:52",2548.9,2,kojimar
192,16810275,Adam,"2026-09-03 00:29:24",2548.5,2,potonglantie93
193,16745949,"Miaohua Zhang","2026-09-03 00:34:57",2548.3,2,miaohuazhang
194,16688896,"JianYuan Deng","2026-09-03 05:06:04",2546.5,2,jianyuandeng
195,16762735,"Zenith Ye","2026-09-02 02:25:46",2545.1,2,zenithye
196,16764089,UtaAzu,"2026-09-02 23:44:37",2541.8,2,utaazu
197,16638994,wpl,"2026-09-02 20:25:07",2541.2,2,peilwang
198,16681405,"Yusuke Hayashi","2026-09-03 05:37:04",2539.9,2,yhay81
199,16665294,"Thái Văn Tài","2026-09-02 10:02:36",2538.6,2,thivnti
200,16811247,"Luca Mussino","2026-09-02 23:02:54",2537.9,2,lucamussino
201,16631421,cg,"2026-09-03 04:35:34",2537.0,2,chaitanyagarg2
202,16662121,One-For-All,"2026-09-02 15:34:38",2536.4,2,indarkarhana
203,16684402,vn1111,"2026-09-03 05:26:34",2536.1,2,vn1111
204,16623630,noobanot,"2026-09-03 01:22:00",2530.0,2,noobanot
205,16654715,"Aqib Raza","2026-09-02 19:21:26",2529.3,2,aqibrazadev
206,16742439,"Shangshang Zhang","2026-09-03 02:52:04",2528.7,2,msvzss
207,16740996,ikevayansky,"2026-09-02 18:43:34",2525.0,2,ikevayansky
208,16786102,"Anay Garodia","2026-09-03 00:30:31",2524.5,2,anaygarodia
209,16633226,test_money,"2026-09-02 21:11:44",2522.3,2,michaelsemenoff
210,16695931,"Kers Aoyagi","2026-09-02 22:51:45",2520.5,2,kersaoyagi
211,16679688,"Sathwik Chinthakayala","2026-09-03 00:37:08",2520.1,2,sathwikchinthakayala
212,16624979,"Mohamed abdelrazik","2026-09-02 06:19:46",2519.6,2,mohamed3abdelrazik
213,16723379,local,"2026-09-02 08:33:02",2519.2,2,matteo123383iend
214,16777406,"Toheeb Ogunade","2026-09-02 20:38:36",2519.1,2,toheebogunade
215,16657032,"Ayaan Ghosh","2026-09-03 04:59:08",2516.4,2,ayan9001
216,16730076,SJY321,"2026-09-02 18:31:33",2514.6,2,sjy321
217,16637546,Forrest,"2026-09-03 00:22:01",2514.0,2,yinxiaogang
218,16811571,"Daniel Guo","2026-09-03 03:20:07",2507.2,2,denialguo
219,16740405,ibyyue,"2026-09-03 02:11:37",2506.4,2,ibyyue
220,16623400,Less,"2026-09-02 23:37:45",2505.8,2,jiaoyouzhang
221,16636079,"Pawan Rama Mali","2026-09-03 03:36:12",2503.7,2,pawanmali
222,16677810,"Maksim Borisov","2026-09-03 00:05:04",2503.6,2,ma4ypic4y
223,16732578,nao.kwmr,"2026-09-03 02:16:23",2503.4,2,naokwmr
224,16799934,auhulu,"2026-09-03 03:04:19",2499.3,2,auhulu
225,16644724,"Yiheng Wang","2026-09-03 03:31:21",2499.0,2,yiheng
226,16802410,"Aleksandr  Larko","2026-09-03 02:33:23",2497.4,2,alexxanderlarko
227,16665746,Chiranjieev,"2026-09-02 13:23:37",2495.2,2,"abhirajhiwale,amitambhore27,himanshu2605"
228,16670879,"old macdonald","2026-09-01 15:55:31",2494.2,2,djschmit
229,16669148,"Syed Muhammad Gillani","2026-09-02 21:23:29",2492.8,2,syedmuhammadgillani
230,16698136,"David Estevez","2026-09-03 04:35:02",2492.4,2,destbreso
231,16736435,Dieter,"2026-09-02 23:12:03",2492.0,2,"arc144,christofhenkel,crodoc"
232,16641138,"Bharath Varma","2026-09-02 15:43:14",2490.4,2,bharath111l
233,16669926,Jince,"2026-09-03 01:44:15",2490.2,2,jincesaju
234,16662833,"umair zia","2026-09-03 01:56:46",2489.3,2,aimerscoding
235,16683936,Cyrus,"2026-09-02 18:40:18",2486.3,2,jamalsaeedi
236,16764605,"Bandito Gangesterito","2026-09-02 14:43:01",2481.3,2,"mrtrueteller,restovrator"
237,16622349,"Mengfei Li","2026-09-02 21:07:09",2480.2,2,meli19
238,16688568,Sophie555,"2026-09-02 20:46:15",2477.9,2,sophie555
239,16811224,yuya,"2026-09-03 04:19:56",2477.4,2,yuomori
240,16623458,datnt114,"2026-09-03 03:51:41",2475.8,2,kingkong153
241,16749205,"Wish Coding Guy","2026-09-02 10:33:15",2475.7,2,tommycyd
242,16783642,base_camp_2002,"2026-09-03 03:44:07",2474.7,2,basecamp2002
243,16677568,yarneo,"2026-09-02 22:40:17",2474.7,2,yarneo
244,16660726,分比我低就受着,"2026-09-02 15:49:53",2473.1,2,gengsr
245,16743836,"Auto Fermers","2026-09-03 03:30:55",2472.5,2,"artemboltaev,dmitriigluzdov"
246,16669856,StrugglerK,"2026-09-02 19:45:01",2472.1,2,muhammedkaanlker
247,16655277,GUAM,"2026-09-02 21:10:59",2471.8,2,"analyticaobscura,jeongminlee92,kmmmvs,wnmgrn"
248,16682879,"Ace Team","2026-09-03 04:47:58",2470.9,2,drpatrickchan
249,16684954,"Suneeth reddy","2026-09-02 15:00:03",2470.8,2,suneethreddy
250,16752740,BorisV,"2026-09-02 12:19:20",2469.5,2,bvoskresenskii
251,16669826,Jesse,"2026-09-03 02:18:19",2468.8,2,jesneuman
252,16736542,YuRuiZe,"2026-09-02 18:37:15",2466.6,2,ruoyuruize
253,16634765,democatXamer,"2026-09-02 15:56:37",2466.5,2,w1326627677
254,16710140,Lynxx,"2026-09-03 03:04:41",2466.3,2,lynnsakurai
255,16740207,"As Long As You Love Me","2026-09-02 13:58:41",2464.4,2,theunforgiven7
256,16621590,Yaroslav,"2026-09-03 01:13:46",2460.4,2,yaroslavrogoza
257,16657877,zigiella,"2026-09-02 11:35:22",2456.6,2,zigiella
258,16784056,"anh nông dân may mắn","2026-09-03 01:00:31",2456.0,2,nguyen1tri
259,16621063,"Aikyatan Sinha","2026-09-02 11:27:34",2455.8,2,"aikyatansinha,vamshikrishnaemmadi"
260,16757809,dasfds,"2026-09-03 04:53:57",2455.6,2,dasfds
261,16742369,"Ömer Faruk Yüce","2026-09-02 15:50:49",2454.3,2,merfarukyce
262,16790585,wzyxp_123,"2026-09-03 05:44:17",2453.6,2,cloudssdut
263,16730344,lvisdd,"2026-09-03 02:33:37",2453.2,2,lvisdd
264,16623799,"Akhilesh godugu","2026-09-02 13:46:26",2453.2,2,"akhileshgodugu,ashokgodugu"
265,16738822,shakedamo0w0,"2026-09-03 04:05:48",2452.5,2,shakedamo0w0
266,16735353,我是刘大聪,"2026-09-02 14:52:16",2452.2,2,smartorz
267,16624056,Raggriculture,"2026-09-02 14:53:48",2450.6,2,ravi123a321at
268,16681116,Kagamihara,"2026-09-02 16:38:03",2449.7,2,kagamihara
269,16664836,"Adnan Zaman","2026-09-02 18:18:04",2449.1,2,adnanzamanniloy
270,16683199,"Filippo Gombac","2026-09-02 17:16:47",2448.5,2,filippogombac
271,16641169,boatlee,"2026-09-02 12:45:49",2446.9,2,boatlee
272,16784401,east,"2026-09-03 04:00:35",2446.4,2,eastxe
273,16719884,ykhnkf,"2026-09-02 12:47:32",2445.6,2,ykhnkf
274,16661118,"Sirui Zeng","2026-09-02 18:51:24",2444.1,2,siruizeng
275,16667964,Shuiys,"2026-09-02 12:47:23",2441.9,2,ysshui
276,16734551,"junseok lee","2026-09-03 00:36:56",2441.4,2,jaslee2
277,16783721,"LI Mufeng","2026-09-03 03:45:47",2441.2,2,"alkaidchen,limufeng"
278,16716821,めめっち,"2026-09-02 12:21:28",2441.0,2,mechi22
279,16720316,"Hưng Trần","2026-09-02 12:02:27",2440.1,2,hungtrabiz
280,16630331,"Mohamed El-Nageeb","2026-09-03 01:19:22",2438.8,2,thelastsmilodon
281,16671017,"Pablo César Ruíz","2026-09-03 02:39:59",2438.0,2,pcruiher08
282,16763897,BackFiring,"2026-09-02 17:33:38",2437.6,2,backfiring
283,16769059,"Shaw Sebastian","2026-09-02 21:58:27",2437.3,2,"shawsebastian,tvtdddd"
284,16691867,huyang111,"2026-09-03 04:05:22",2436.7,2,huyang111
285,16637973,StephenNedumpally,"2026-09-02 14:34:46",2436.4,2,stephennedumpally
286,16799304,"Rlug mb","2026-09-03 01:48:02",2435.2,2,"minhtrph,rlugmb"
287,16779957,养了一群扫福瑞,"2026-09-02 12:13:01",2434.5,2,whq0q7
288,16674312,yuxuan,"2026-09-02 16:21:20",2431.6,2,yuxuan1221
289,16668227,Yusuraume,"2026-09-02 15:06:44",2429.8,2,sugitatomohiko
290,16808178,qianyuatkaggle,"2026-09-03 00:20:10",2428.7,2,qianyuatkaggle
291,16746010,"Khoi Tuan Nguyen","2026-09-02 16:07:55",2427.4,2,khoingt
292,16672251,"Kavinkumar M","2026-09-03 02:37:11",2427.0,2,kavinkumarrkm
293,16811072,Rafael,"2026-09-02 21:30:49",2425.1,1,rafaeldsjhkas
294,16757621,Kurokawa,"2026-09-02 12:49:54",2425.1,2,hiroshikurokawa
295,16775076,hiros,"2026-09-03 04:15:51",2424.1,2,hiroshige1
296,16801457,"Who Stole My Vegetables?","2026-09-03 04:48:31",2422.5,2,subaru486
297,16632493,"oni chan arigato","2026-09-02 18:34:13",2420.9,2,"kindasomethin,nabidnur"
298,16635067,"Berat Egemen Gök","2026-09-02 19:52:19",2420.6,2,berategemengk
299,16747577,"Nolan BONHOMME","2026-09-02 14:19:30",2418.7,2,nolanbonhomme
300,16623805,"Howon Kang","2026-09-03 00:42:26",2418.7,2,howonkang
301,16680144,AM,"2026-09-02 18:13:13",2418.6,2,adammekky
302,16737237,"Ayodeji Adesegun","2026-09-02 12:09:57",2417.6,2,ayodejiadesegun
303,16676278,"Om Sangwan","2026-09-02 19:27:26",2416.6,2,omsangwan
304,16681369,GanadorPlusUltra,"2026-09-02 20:53:05",2412.9,2,ganadorplusultra
305,16760244,"Alex Paul","2026-09-03 00:02:13",2411.5,2,alexazander
306,16695685,"kwon yong deuk","2026-09-02 13:03:40",2411.1,2,kwonyongdeuk
307,16654881,Freddy,"2026-09-02 22:13:37",2411.0,2,twoxding
308,16651695,"Abnormal Guys","2026-09-03 05:18:35",2410.6,2,"gwey1025,koushikrudra"
309,16809874,もたざる,"2026-09-03 01:52:50",2410.1,2,havenox
310,16811251,poijio,"2026-09-03 01:59:13",2409.3,1,poijio
311,16735094,RngRng,"2026-09-02 23:51:40",2408.3,2,rngrng
312,16634704,"Maham Haroon","2026-09-02 14:59:44",2406.9,2,mahamhc
313,16669490,hinemos,"2026-09-02 17:14:45",2405.3,2,hinemos
314,16677107,gagacrow,"2026-09-02 23:03:53",2405.3,2,gagacrow
315,16657576,"SUBHASH B","2026-09-02 14:20:11",2405.0,2,"rishikrish1,subhashb21022"
316,16797251,"Nguyễn Mạnh Niên","2026-09-02 06:19:44",2403.9,2,jacobrichard312
317,16763505,"Sai Reddy Pothireddy","2026-09-02 22:56:19",2402.0,2,saireddypothireddy
318,16767960,"Yuvraj Bhati","2026-09-03 00:00:06",2401.1,2,avioon
319,16686424,"Thần Thoại","2026-09-02 17:01:58",2400.8,2,thanthoai
320,16629033,"Igor V","2026-09-02 20:09:06",2400.4,2,rostigor
321,16631640,"Danielle Lesin fan","2026-09-02 14:31:59",2398.6,2,caoyupeng
322,16664640,"Tiannan Zhang","2026-09-02 19:19:18",2396.9,2,underestimated
323,16635351,AAAMIKASA,"2026-09-03 03:03:11",2396.5,2,aaamikasa
324,16774823,fan2goa1,"2026-09-02 21:51:39",2395.8,2,zfun0926
325,16799554,dengddd,"2026-09-02 14:02:40",2395.2,2,dengdgq
326,16798172,"Dmytro Maliarenko","2026-09-02 21:28:17",2393.8,2,arxitekton
327,16725793,Krilin,"2026-09-02 12:31:11",2393.4,2,krilin
328,16732403,ymg_aq,"2026-09-02 23:15:29",2388.1,2,ymgpalaqs
329,16699165,lime0001,"2026-09-02 12:48:30",2387.6,2,lime0001
